CFD_ID,Name_of_CFD_Unit,Allocation_Round,Technology_Type,Transmission_or_Distribution_connection,Status,Expected_Start_Date,Maximum_Contract_Capacity_MW
AAA-ACH-183,Achlachan Wind Farm,Allocation Round 1,Onshore Wind,Distribution,Post-Start Date,2019-04-08 00:00:00,10.000
AAA-BAD-185,Bad A Cheo Wind Farm,Allocation Round 1,Onshore Wind,Transmission,Post-Start Date,2019-03-31 00:00:00,26.340
AAA-BAN-189,Kype Muir Wind Farm,Allocation Round 1,Onshore Wind,Transmission,Post-Start Date,2019-03-28 00:00:00,87.230
AAA-BAN-190,Moor House Wind Farm,Allocation Round 1,Onshore Wind,Distribution,Post-Start Date,2018-04-03 00:00:00,11.960
AAA-BAN-192,Middle Muir Wind Farm,Allocation Round 1,Onshore Wind,Transmission,Post-Start Date,2019-01-09 00:00:00,50.730
AAA-BRE-177,Brenig Wind Farm,Allocation Round 1,Onshore Wind,Distribution,Post-Start Date,2019-03-29 00:00:00,37.600
AAA-CAM-197,Triangle Farm Solar Park,Allocation Round 1,Solar PV,Distribution,Post-Start Date,2017-07-18 00:00:00,10.900
AAA-CLO-186,Clocaenog Forest Wind Farm,Allocation Round 1,Onshore Wind,Distribution,Post-Start Date,2019-10-31 00:00:00,95.680
AAA-COI-196,Coire Na Cloiche Windfarm,Allocation Round 1,Onshore Wind,Distribution,Post-Start Date,2019-06-25 00:00:00,30.000
AAA-COM-191,Common Barn Wind Farm,Allocation Round 1,Onshore Wind,Distribution,Post-Start Date,2019-06-18 00:00:00,6.070
AAA-DOR-182,Dorenell Wind Farm,Allocation Round 1,Onshore Wind,Transmission,Post-Start Date,2018-12-20 00:00:00,173.700
AAA-ENE-171,Energy Works (Hull),Allocation Round 1,Advanced Conversion Technology,Distribution,Post-Start Date,2019-12-09 00:00:00,25.000
AAA-ENV-169,Enviroparks Hirwaun Generation Site,Allocation Round 1,Advanced Conversion Technology,Distribution,Terminated,,11.000
AAA-GEN-188,Wren Power and Pulp,Allocation Round 1,Energy from Waste with CHP,Distribution,Terminated,,49.750
